country,date,confirm,confirm_add,heal,dead
塞舌尔,1.28,0,0,0,0
沙特阿拉伯,1.28,0,0,0,0
圣基茨和尼维斯,1.28,0,0,0,0
圣卢西亚,1.28,0,0,0,0
圣马力诺,1.28,0,0,0,0
圣文森特和格林纳丁斯,1.28,0,0,0,0
斯里兰卡,1.28,1,0,0,0
斯洛伐克,1.28,0,0,0,0
斯洛文尼亚,1.28,0,0,0,0
斯威士兰,1.28,0,0,0,0
苏丹,1.28,0,0,0,0
苏里南,1.28,0,0,0,0
索马里,1.28,0,0,0,0
塔吉克斯坦,1.28,0,0,0,0
泰国,1.28,14,0,2,0
坦桑尼亚,1.28,0,0,0,0
特立尼达和多巴哥,1.28,0,0,0,0
突尼斯,1.28,0,0,0,0
土耳其,1.28,0,0,0,0
危地马拉,1.28,0,0,0,0
委内瑞拉,1.28,0,0,0,0
文莱,1.28,0,0,0,0
乌干达,1.28,0,0,0,0
乌克兰,1.28,0,0,0,0
乌拉圭,1.28,0,0,0,0
乌兹别克斯坦,1.28,0,0,0,0
西班牙,1.28,0,0,0,0
希腊,1.28,0,0,0,0
新加坡,1.28,7,0,0,0
新西兰,1.28,0,0,0,0
匈牙利,1.28,0,0,0,0
叙利亚,1.28,0,0,0,0
牙买加,1.28,0,0,0,0
亚美尼亚,1.28,0,0,0,0
也门,1.28,0,0,0,0
伊拉克,1.28,0,0,0,0
伊朗,1.28,0,0,0,0
以色列,1.28,0,0,0,0
意大利,1.28,0,0,0,0
印度,1.28,0,0,0,0
印度尼西亚,1.28,0,0,0,0
英国,1.28,0,0,0,0
约旦,1.28,0,0,0,0
越南,1.28,2,0,0,0
赞比亚,1.28,0,0,0,0
乍得,1.28,0,0,0,0
智利,1.28,0,0,0,0
中非,1.28,0,0,0,0
中国,1.28,5997,5762,103,132
阿尔巴尼亚,1.29,0,0,0,0
阿尔及利亚,1.29,0,0,0,0
阿富汗,1.29,0,0,0,0
阿根廷,1.29,0,0,0,0
阿联酋,1.29,4,0,0,0
阿曼,1.29,0,0,0,0
阿塞拜疆,1.29,0,0,0,0
埃及,1.29,0,0,0,0
埃塞俄比亚,1.29,0,0,0,0
爱尔兰,1.29,0,0,0,0
爱沙尼亚,1.29,0,0,0,0
安道尔,1.29,0,0,0,0
安哥拉,1.29,0,0,0,0
安提瓜和巴布达,1.29,0,0,0,0
奥地利,1.29,0,0,0,0
澳大利亚,1.29,7,2,0,0
巴巴多斯,1.29,0,0,0,0
巴布亚新几内亚,1.29,0,0,0,0
巴哈马,1.29,0,0,0,0
巴基斯坦,1.29,0,0,0,0
巴拉圭,1.29,0,0,0,0
巴勒斯坦,1.29,0,0,0,0
巴林,1.29,0,0,0,0
巴拿马,1.29,0,0,0,0
巴西,1.29,0,0,0,0
白俄罗斯,1.29,0,0,0,0
保加利亚,1.29,0,0,0,0
贝宁,1.29,0,0,0,0
比利时,1.29,0,0,0,0
冰岛,1.29,0,0,0,0
波黑,1.29,0,0,0,0
波兰,1.29,0,0,0,0
玻利维亚,1.29,0,0,0,0
伯利兹,1.29,0,0,0,0
博茨瓦纳,1.29,0,0,0,0
不丹,1.29,0,0,0,0
布基纳法索,1.29,0,0,0,0
布隆迪,1.29,0,0,0,0
赤道几内亚,1.29,0,0,0,0
丹麦,1.29,0,0,0,0
德国,1.29,4,3,0,0
东帝汶,1.29,0,0,0,0
多哥,1.29,0,0,0,0
多米尼加,1.29,0,0,0,0
多米尼克,1.29,0,0,0,0
俄罗斯,1.29,0,0,0,0
厄瓜多尔,1.29,0,0,0,0
厄立特里亚,1.29,0,0,0,0
法国,1.29,4,1,0,0
梵蒂冈,1.29,0,0,0,0
菲律宾,1.29,1,0,0,0
斐济,1.29,0,0,0,0
芬兰,1.29,0,0,0,0
佛得角,1.29,0,0,0,0
冈比亚,1.29,0,0,0,0
刚果,1.29,0,0,0,0
刚果民主共和国,1.29,0,0,0,0
哥伦比亚,1.29,0,0,0,0
哥斯达黎加,1.29,0,0,0,0
格林纳达,1.29,0,0,0,0
格鲁吉亚,1.29,0,0,0,0
古巴,1.29,0,0,0,0
圭亚那,1.29,0,0,0,0
哈萨克斯坦,1.29,0,0,0,0
海地,1.29,0,0,0,0
韩国,1.29,4,0,0,0
荷兰,1.29,0,0,0,0
黑山,1.29,0,0,0,0
洪都拉斯,1.29,0,0,0,0
吉布提,1.29,0,0,0,0
吉尔吉斯斯坦,1.29,0,0,0,0
几内亚,1.29,0,0,0,0
几内亚比绍,1.29,0,0,0,0
加拿大,1.29,2,0,0,0
加纳,1.29,0,0,0,0
加蓬,1.29,0,0,0,0
柬埔寨,1.29,0,0,0,0
捷克共和国,1.29,0,0,0,0
津巴布韦,1.29,0,0,0,0
喀麦隆,1.29,0,0,0,0
卡塔尔,1.29,0,0,0,0
科摩罗,1.29,0,0,0,0
科特迪瓦,1.29,0,0,0,0
科威特,1.29,0,0,0,0
克罗地亚,1.29,0,0,0,0
肯尼亚,1.29,0,0,0,0
拉脱维亚,1.29,0,0,0,0
老挝,1.29,0,0,0,0
黎巴嫩,1.29,0,0,0,0
立陶宛,1.29,0,0,0,0
利比里亚,1.29,0,0,0,0
利比亚,1.29,0,0,0,0
列支敦士登公国,1.29,0,0,0,0
卢森堡,1.29,0,0,0,0
卢旺达,1.29,0,0,0,0
罗马尼亚,1.29,0,0,0,0
马达加斯加,1.29,0,0,0,0
马尔代夫,1.29,0,0,0,0
马耳他,1.29,0,0,0,0
马拉维,1.29,0,0,0,0
马来西亚,1.29,7,3,0,0
马里,1.29,0,0,0,0
马其顿,1.29,0,0,0,0
毛里求斯,1.29,0,0,0,0
毛里塔尼亚,1.29,0,0,0,0
美国,1.29,5,0,0,0
蒙古,1.29,0,0,0,0
孟加拉,1.29,0,0,0,0
秘鲁,1.29,0,0,0,0
缅甸,1.29,0,0,0,0
摩尔多瓦,1.29,0,0,0,0
摩洛哥,1.29,0,0,0,0
摩纳哥,1.29,0,0,0,0
莫桑比克,1.29,0,0,0,0
墨西哥,1.29,0,0,0,0
纳米比亚,1.29,0,0,0,0
南非,1.29,0,0,0,0
尼泊尔,1.29,1,0,0,0
尼加拉瓜,1.29,0,0,0,0
尼日尔,1.29,0,0,0,0
尼日利亚,1.29,0,0,0,0
挪威,1.29,0,0,0,0
葡萄牙,1.29,0,0,0,0
日本,1.29,8,1,1,0
瑞典,1.29,0,0,0,0
瑞士,1.29,0,0,0,0
萨尔瓦多,1.29,0,0,0,0
塞尔维亚,1.29,0,0,0,0
塞拉利昂,1.29,0,0,0,0
塞内加尔,1.29,0,0,0,0
塞浦路斯,1.29,0,0,0,0
塞舌尔,1.29,0,0,0,0
沙特阿拉伯,1.29,0,0,0,0
圣基茨和尼维斯,1.29,0,0,0,0
圣卢西亚,1.29,0,0,0,0
圣马力诺,1.29,0,0,0,0
圣文森特和格林纳丁斯,1.29,0,0,0,0
斯里兰卡,1.29,1,0,0,0
斯洛伐克,1.29,0,0,0,0
斯洛文尼亚,1.29,0,0,0,0
斯威士兰,1.29,0,0,0,0
苏丹,1.29,0,0,0,0
苏里南,1.29,0,0,0,0
索马里,1.29,0,0,0,0
塔吉克斯坦,1.29,0,0,0,0
泰国,1.29,14,0,2,0
坦桑尼亚,1.29,0,0,0,0
特立尼达和多巴哥,1.29,0,0,0,0
突尼斯,1.29,0,0,0,0
土耳其,1.29,0,0,0,0
危地马拉,1.29,0,0,0,0
委内瑞拉,1.29,0,0,0,0
文莱,1.29,0,0,0,0
乌干达,1.29,0,0,0,0
乌克兰,1.29,0,0,0,0
乌拉圭,1.29,0,0,0,0
乌兹别克斯坦,1.29,0,0,0,0
西班牙,1.29,0,0,0,0
希腊,1.29,0,0,0,0
新加坡,1.29,10,3,0,0
新西兰,1.29,0,0,0,0
匈牙利,1.29,0,0,0,0
叙利亚,1.29,0,0,0,0
牙买加,1.29,0,0,0,0
亚美尼亚,1.29,0,0,0,0
也门,1.29,0,0,0,0
伊拉克,1.29,0,0,0,0
伊朗,1.29,0,0,0,0
以色列,1.29,0,0,0,0
意大利,1.29,0,0,0,0
印度,1.29,0,0,0,0
印度尼西亚,1.29,0,0,0,0
英国,1.29,0,0,0,0
约旦,1.29,0,0,0,0
越南,1.29,2,0,0,0
赞比亚,1.29,0,0,0,0
乍得,1.29,0,0,0,0
智利,1.29,0,0,0,0
中非,1.29,0,0,0,0
中国,1.29,7736,7442,124,170
阿尔巴尼亚,1.3,0,0,0,0
阿尔及利亚,1.3,0,0,0,0
阿富汗,1.3,0,0,0,0
阿根廷,1.3,0,0,0,0
阿联酋,1.3,4,0,0,0
阿曼,1.3,0,0,0,0
阿塞拜疆,1.3,0,0,0,0
埃及,1.3,0,0,0,0
埃塞俄比亚,1.3,0,0,0,0
爱尔兰,1.3,0,0,0,0
爱沙尼亚,1.3,0,0,0,0
安道尔,1.3,0,0,0,0
安哥拉,1.3,0,0,0,0
安提瓜和巴布达,1.3,0,0,0,0
奥地利,1.3,0,0,0,0
澳大利亚,1.3,8,1,2,0
巴巴多斯,1.3,0,0,0,0
巴布亚新几内亚,1.3,0,0,0,0
巴哈马,1.3,0,0,0,0
巴基斯坦,1.3,0,0,0,0
巴拉圭,1.3,0,0,0,0
巴勒斯坦,1.3,0,0,0,0
巴林,1.3,0,0,0,0
巴拿马,1.3,0,0,0,0
巴西,1.3,0,0,0,0
白俄罗斯,1.3,0,0,0,0
保加利亚,1.3,0,0,0,0
贝宁,1.3,0,0,0,0
比利时,1.3,0,0,0,0
冰岛,1.3,0,0,0,0
波黑,1.3,0,0,0,0
波兰,1.3,0,0,0,0
玻利维亚,1.3,0,0,0,0
伯利兹,1.3,0,0,0,0
博茨瓦纳,1.3,0,0,0,0
不丹,1.3,0,0,0,0
布基纳法索,1.3,0,0,0,0
布隆迪,1.3,0,0,0,0
赤道几内亚,1.3,0,0,0,0
丹麦,1.3,0,0,0,0
德国,1.3,4,0,0,0
东帝汶,1.3,0,0,0,0
多哥,1.3,0,0,0,0
多米尼加,1.3,0,0,0,0
多米尼克,1.3,0,0,0,0
俄罗斯,1.3,0,0,0,0
厄瓜多尔,1.3,0,0,0,0
厄立特里亚,1.3,0,0,0,0
法国,1.3,6,2,0,0
梵蒂冈,1.3,0,0,0,0
菲律宾,1.3,1,0,0,0
斐济,1.3,0,0,0,0
芬兰,1.3,1,0,0,0
佛得角,1.3,0,0,0,0
冈比亚,1.3,0,0,0,0
刚果,1.3,0,0,0,0
刚果民主共和国,1.3,0,0,0,0
哥伦比亚,1.3,0,0,0,0
哥斯达黎加,1.3,0,0,0,0
格林纳达,1.3,0,0,0,0
格鲁吉亚,1.3,0,0,0,0
古巴,1.3,0,0,0,0
圭亚那,1.3,0,0,0,0
哈萨克斯坦,1.3,0,0,0,0
海地,1.3,0,0,0,0
韩国,1.3,6,2,0,0
荷兰,1.3,0,0,0,0
黑山,1.3,0,0,0,0
洪都拉斯,1.3,0,0,0,0
吉布提,1.3,0,0,0,0
吉尔吉斯斯坦,1.3,0,0,0,0
几内亚,1.3,0,0,0,0
几内亚比绍,1.3,0,0,0,0
加拿大,1.3,3,1,1,0
加纳,1.3,0,0,0,0
加蓬,1.3,0,0,0,0
柬埔寨,1.3,0,0,0,0
捷克共和国,1.3,0,0,0,0
津巴布韦,1.3,0,0,0,0
喀麦隆,1.3,0,0,0,0
卡塔尔,1.3,0,0,0,0
科摩罗,1.3,0,0,0,0
科特迪瓦,1.3,0,0,0,0
科威特,1.3,0,0,0,0
克罗地亚,1.3,0,0,0,0
肯尼亚,1.3,0,0,0,0
拉脱维亚,1.3,0,0,0,0
老挝,1.3,0,0,0,0
黎巴嫩,1.3,0,0,0,0
立陶宛,1.3,0,0,0,0
利比里亚,1.3,0,0,0,0
利比亚,1.3,0,0,0,0
列支敦士登公国,1.3,0,0,0,0
卢森堡,1.3,0,0,0,0
卢旺达,1.3,0,0,0,0
罗马尼亚,1.3,0,0,0,0
马达加斯加,1.3,0,0,0,0
马尔代夫,1.3,0,0,0,0
马耳他,1.3,0,0,0,0
马拉维,1.3,0,0,0,0
马来西亚,1.3,8,1,0,0
马里,1.3,0,0,0,0
马其顿,1.3,0,0,0,0
毛里求斯,1.3,0,0,0,0
毛里塔尼亚,1.3,0,0,0,0
美国,1.3,6,1,0,0
蒙古,1.3,0,0,0,0
孟加拉,1.3,0,0,0,0
秘鲁,1.3,0,0,0,0
缅甸,1.3,0,0,0,0
摩尔多瓦,1.3,0,0,0,0
摩洛哥,1.3,0,0,0,0
摩纳哥,1.3,0,0,0,0
莫桑比克,1.3,0,0,0,0
墨西哥,1.3,0,0,0,0
纳米比亚,1.3,0,0,0,0
南非,1.3,0,0,0,0
尼泊尔,1.3,1,0,0,0
尼加拉瓜,1.3,0,0,0,0
尼日尔,1.3,0,0,0,0
尼日利亚,1.3,0,0,0,0
挪威,1.3,0,0,0,0
葡萄牙,1.3,0,0,0,0
日本,1.3,13,5,1,0
瑞典,1.3,0,0,0,0
瑞士,1.3,0,0,0,0
萨尔瓦多,1.3,0,0,0,0
塞尔维亚,1.3,0,0,0,0
塞拉利昂,1.3,0,0,0,0
塞内加尔,1.3,0,0,0,0
塞浦路斯,1.3,0,0,0,0
塞舌尔,1.3,0,0,0,0
沙特阿拉伯,1.3,0,0,0,0
圣基茨和尼维斯,1.3,0,0,0,0
圣卢西亚,1.3,0,0,0,0
圣马力诺,1.3,0,0,0,0
圣文森特和格林纳丁斯,1.3,0,0,0,0
斯里兰卡,1.3,1,0,0,0
斯洛伐克,1.3,0,0,0,0
斯洛文尼亚,1.3,0,0,0,0
斯威士兰,1.3,0,0,0,0
苏丹,1.3,0,0,0,0
苏里南,1.3,0,0,0,0
索马里,1.3,0,0,0,0
塔吉克斯坦,1.3,0,0,0,0
泰国,1.3,14,0,2,0
坦桑尼亚,1.3,0,0,0,0
特立尼达和多巴哥,1.3,0,0,0,0
突尼斯,1.3,0,0,0,0
土耳其,1.3,0,0,0,0
危地马拉,1.3,0,0,0,0
委内瑞拉,1.3,0,0,0,0
文莱,1.3,0,0,0,0
乌干达,1.3,0,0,0,0
乌克兰,1.3,0,0,0,0
乌拉圭,1.3,0,0,0,0
乌兹别克斯坦,1.3,0,0,0,0
西班牙,1.3,0,0,0,0
希腊,1.3,0,0,0,0
新加坡,1.3,16,6,0,0
新西兰,1.3,0,0,0,0
匈牙利,1.3,0,0,0,0
叙利亚,1.3,0,0,0,0
牙买加,1.3,0,0,0,0
亚美尼亚,1.3,0,0,0,0
也门,1.3,0,0,0,0
伊拉克,1.3,0,0,0,0
伊朗,1.3,0,0,0,0
以色列,1.3,0,0,0,0
意大利,1.3,0,0,0,0
印度,1.3,1,0,0,0
印度尼西亚,1.3,0,0,0,0
英国,1.3,0,0,0,0
约旦,1.3,0,0,0,0
越南,1.3,5,3,0,0
赞比亚,1.3,0,0,0,0
乍得,1.3,0,0,0,0
智利,1.3,0,0,0,0
中非,1.3,0,0,0,0
中国,1.3,9720,9336,171,213
阿尔巴尼亚,1.31,0,0,0,0
阿尔及利亚,1.31,0,0,0,0
阿富汗,1.31,0,0,0,0
阿根廷,1.31,0,0,0,0
阿联酋,1.31,5,1,0,0
阿曼,1.31,0,0,0,0
阿塞拜疆,1.31,0,0,0,0
埃及,1.31,0,0,0,0
埃塞俄比亚,1.31,0,0,0,0
爱尔兰,1.31,0,0,0,0
爱沙尼亚,1.31,0,0,0,0
安道尔,1.31,0,0,0,0
安哥拉,1.31,0,0,0,0
安提瓜和巴布达,1.31,0,0,0,0
奥地利,1.31,0,0,0,0
澳大利亚,1.31,9,1,2,0
巴巴多斯,1.31,0,0,0,0
巴布亚新几内亚,1.31,0,0,0,0
巴哈马,1.31,0,0,0,0
巴基斯坦,1.31,0,0,0,0
巴拉圭,1.31,0,0,0,0
巴勒斯坦,1.31,0,0,0,0
巴林,1.31,0,0,0,0
巴拿马,1.31,0,0,0,0
巴西,1.31,0,0,0,0
白俄罗斯,1.31,0,0,0,0
保加利亚,1.31,0,0,0,0
贝宁,1.31,0,0,0,0
比利时,1.31,0,0,0,0
冰岛,1.31,0,0,0,0
波黑,1.31,0,0,0,0
波兰,1.31,0,0,0,0
玻利维亚,1.31,0,0,0,0
伯利兹,1.31,0,0,0,0
博茨瓦纳,1.31,0,0,0,0
不丹,1.31,0,0,0,0
布基纳法索,1.31,0,0,0,0
布隆迪,1.31,0,0,0,0
赤道几内亚,1.31,0,0,0,0
丹麦,1.31,0,0,0,0
德国,1.31,6,2,0,0
东帝汶,1.31,0,0,0,0
多哥,1.31,0,0,0,0
多米尼加,1.31,0,0,0,0
多米尼克,1.31,0,0,0,0
俄罗斯,1.31,2,0,0,0
厄瓜多尔,1.31,0,0,0,0
厄立特里亚,1.31,0,0,0,0
法国,1.31,6,0,0,0
梵蒂冈,1.31,0,0,0,0
菲律宾,1.31,1,0,0,0
斐济,1.31,0,0,0,0
芬兰,1.31,1,0,0,0
佛得角,1.31,0,0,0,0
冈比亚,1.31,0,0,0,0
刚果,1.31,0,0,0,0
刚果民主共和国,1.31,0,0,0,0
哥伦比亚,1.31,0,0,0,0
哥斯达黎加,1.31,0,0,0,0
格林纳达,1.31,0,0,0,0
格鲁吉亚,1.31,0,0,0,0
古巴,1.31,0,0,0,0
圭亚那,1.31,0,0,0,0
哈萨克斯坦,1.31,0,0,0,0
海地,1.31,0,0,0,0
韩国,1.31,11,5,0,0
荷兰,1.31,0,0,0,0
黑山,1.31,0,0,0,0
洪都拉斯,1.31,0,0,0,0
吉布提,1.31,0,0,0,0
吉尔吉斯斯坦,1.31,0,0,0,0
几内亚,1.31,0,0,0,0
几内亚比绍,1.31,0,0,0,0
加拿大,1.31,3,0,1,0
加纳,1.31,0,0,0,0
加蓬,1.31,0,0,0,0
柬埔寨,1.31,1,0,0,0
捷克共和国,1.31,0,0,0,0
津巴布韦,1.31,0,0,0,0
喀麦隆,1.31,0,0,0,0
卡塔尔,1.31,0,0,0,0
科摩罗,1.31,0,0,0,0
科特迪瓦,1.31,0,0,0,0
科威特,1.31,0,0,0,0
克罗地亚,1.31,0,0,0,0
肯尼亚,1.31,0,0,0,0
拉脱维亚,1.31,0,0,0,0
老挝,1.31,0,0,0,0
黎巴嫩,1.31,0,0,0,0
立陶宛,1.31,0,0,0,0
利比里亚,1.31,0,0,0,0
利比亚,1.31,0,0,0,0
列支敦士登公国,1.31,0,0,0,0
卢森堡,1.31,0,0,0,0
卢旺达,1.31,0,0,0,0
罗马尼亚,1.31,0,0,0,0
马达加斯加,1.31,0,0,0,0
马尔代夫,1.31,0,0,0,0
马耳他,1.31,0,0,0,0
马拉维,1.31,0,0,0,0
马来西亚,1.31,8,0,0,0
马里,1.31,0,0,0,0
马其顿,1.31,0,0,0,0
毛里求斯,1.31,0,0,0,0
毛里塔尼亚,1.31,0,0,0,0
美国,1.31,6,0,0,0
蒙古,1.31,0,0,0,0
孟加拉,1.31,0,0,0,0
秘鲁,1.31,0,0,0,0
缅甸,1.31,0,0,0,0
摩尔多瓦,1.31,0,0,0,0
摩洛哥,1.31,0,0,0,0
摩纳哥,1.31,0,0,0,0
莫桑比克,1.31,0,0,0,0
墨西哥,1.31,0,0,0,0
纳米比亚,1.31,0,0,0,0
南非,1.31,0,0,0,0
尼泊尔,1.31,1,0,0,0
尼加拉瓜,1.31,0,0,0,0
尼日尔,1.31,0,0,0,0
尼日利亚,1.31,0,0,0,0
挪威,1.31,0,0,0,0
葡萄牙,1.31,0,0,0,0
日本,1.31,17,4,1,0
瑞典,1.31,1,0,0,0
瑞士,1.31,0,0,0,0
萨尔瓦多,1.31,0,0,0,0
塞尔维亚,1.31,0,0,0,0
塞拉利昂,1.31,0,0,0,0
塞内加尔,1.31,0,0,0,0
塞浦路斯,1.31,0,0,0,0
塞舌尔,1.31,0,0,0,0
沙特阿拉伯,1.31,0,0,0,0
圣基茨和尼维斯,1.31,0,0,0,0
圣卢西亚,1.31,0,0,0,0
圣马力诺,1.31,0,0,0,0
圣文森特和格林纳丁斯,1.31,0,0,0,0
斯里兰卡,1.31,1,0,0,0
斯洛伐克,1.31,0,0,0,0
斯洛文尼亚,1.31,0,0,0,0
斯威士兰,1.31,0,0,0,0
苏丹,1.31,0,0,0,0
苏里南,1.31,0,0,0,0
索马里,1.31,0,0,0,0
塔吉克斯坦,1.31,0,0,0,0
泰国,1.31,19,5,7,0
坦桑尼亚,1.31,0,0,0,0
特立尼达和多巴哥,1.31,0,0,0,0
突尼斯,1.31,0,0,0,0
土耳其,1.31,0,0,0,0
危地马拉,1.31,0,0,0,0
委内瑞拉,1.31,0,0,0,0
文莱,1.31,0,0,0,0
乌干达,1.31,0,0,0,0
乌克兰,1.31,0,0,0,0
乌拉圭,1.31,0,0,0,0
乌兹别克斯坦,1.31,0,0,0,0
西班牙,1.31,0,0,0,0
希腊,1.31,0,0,0,0
新加坡,1.31,16,0,0,0
新西兰,1.31,0,0,0,0
匈牙利,1.31,0,0,0,0
叙利亚,1.31,0,0,0,0
牙买加,1.31,0,0,0,0
亚美尼亚,1.31,0,0,0,0
也门,1.31,0,0,0,0
伊拉克,1.31,0,0,0,0
伊朗,1.31,0,0,0,0
以色列,1.31,0,0,0,0
意大利,1.31,2,2,0,0
印度,1.31,1,0,0,0
印度尼西亚,1.31,0,0,0,0
英国,1.31,2,0,0,0
约旦,1.31,0,0,0,0
越南,1.31,5,0,0,0
赞比亚,1.31,0,0,0,0
乍得,1.31,0,0,0,0
智利,1.31,0,0,0,0
中非,1.31,0,0,0,0
中国,1.31,11821,11319,243,259
阿尔巴尼亚,2.01,0,0,0,0
阿尔及利亚,2.01,0,0,0,0
阿富汗,2.01,0,0,0,0
阿根廷,2.01,0,0,0,0
阿联酋,2.01,5,0,0,0
阿曼,2.01,0,0,0,0
阿塞拜疆,2.01,0,0,0,0
埃及,2.01,0,0,0,0
埃塞俄比亚,2.01,0,0,0,0
爱尔兰,2.01,0,0,0,0
爱沙尼亚,2.01,0,0,0,0
安道尔,2.01,0,0,0,0
安哥拉,2.01,0,0,0,0
安提瓜和巴布达,2.01,0,0,0,0
奥地利,2.01,0,0,0,0
澳大利亚,2.01,12,3,2,0
巴巴多斯,2.01,0,0,0,0
巴布亚新几内亚,2.01,0,0,0,0
巴哈马,2.01,0,0,0,0
巴基斯坦,2.01,0,0,0,0
巴拉圭,2.01,0,0,0,0
巴勒斯坦,2.01,0,0,0,0
巴林,2.01,0,0,0,0
巴拿马,2.01,0,0,0,0
巴西,2.01,0,0,0,0
白俄罗斯,2.01,0,0,0,0
保加利亚,2.01,0,0,0,0
贝宁,2.01,0,0,0,0
比利时,2.01,0,0,0,0
冰岛,2.01,0,0,0,0
波黑,2.01,0,0,0,0
波兰,2.01,0,0,0,0
玻利维亚,2.01,0,0,0,0
伯利兹,2.01,0,0,0,0
博茨瓦纳,2.01,0,0,0,0
不丹,2.01,0,0,0,0
布基纳法索,2.01,0,0,0,0
布隆迪,2.01,0,0,0,0
赤道几内亚,2.01,0,0,0,0
